Stkcd,Reptdt,Lev,Cash
300049,2013/12/31,0.344416,0.095993
300139,2013/12/31,0.069427,-0.171159
300369,2013/12/31,0.364038,
300293,2013/12/31,0.587461,-0.386575
300378,2013/12/31,0.373781,
300022,2013/12/31,0.826268,-0.036151
300156,2013/12/31,0.458522,-0.501781
300167,2013/12/31,0.26598,0.140495
300355,2013/12/31,0.471911,-0.288331
300269,2013/12/31,0.379474,0.03229
300277,2013/12/31,0.263949,-0.197431
300358,2014/12/31,0.419904,-0.014195
300208,2014/12/31,0.437896,0.246217
300278,2014/12/31,0.302965,-0.048145
300056,2014/12/31,0.457004,0.217361
300011,2014/12/31,0.144754,0.608715
300196,2014/12/31,0.258058,0.335253
300131,2014/12/31,0.419157,-0.191516
300286,2014/12/31,0.200246,1.122587
300390,2014/12/31,0.189512,
300317,2014/12/31,0.556395,-0.061207
300294,2014/12/31,0.092258,0.968306
300198,2014/12/31,0.278211,0.147647
300239,2014/12/31,0.358132,-0.068329
300357,2014/12/31,0.033414,5.619803
300193,2014/12/31,0.097905,0.468022
300242,2014/12/31,0.183754,0.438136
300238,2014/12/31,0.14192,0.806584
300248,2014/12/31,0.148206,0.04325
300241,2014/12/31,0.485485,0.332794
300335,2014/12/31,0.239555,-0.005839
300353,2014/12/31,0.185852,0.65507
300030,2014/12/31,0.232828,-0.622358
300204,2014/12/31,0.164213,0.748092
300256,2014/12/31,0.456629,-0.144151
300125,2014/12/31,0.468631,0.152299
300179,2014/12/31,0.148816,0.293386
300363,2014/12/31,0.528601,0.162541
300299,2014/12/31,0.236827,-0.143147
300144,2014/12/31,0.085366,1.755706
300201,2014/12/31,0.372011,0.094482
300146,2014/12/31,0.09384,2.355493
300253,2014/12/31,0.349691,0.159498
300226,2014/12/31,0.462073,-0.770463
300267,2014/12/31,0.244374,0.534986
300009,2014/12/31,0.155209,0.939698
300351,2014/12/31,0.110151,0.968771
300328,2014/12/31,0.269253,0.152494
300134,2014/12/31,0.255122,0.584401
300140,2014/12/31,0.160154,-0.045947
300054,2014/12/31,0.167494,0.513551
300139,2014/12/31,0.078397,-0.260237
300055,2014/12/31,0.281586,-0.054932
300141,2014/12/31,0.160266,0.094536
300227,2014/12/31,0.356888,0.328084
300156,2014/12/31,0.371843,0.249389
300289,2014/12/31,0.323901,-0.028829
300127,2014/12/31,0.084743,1.212851
300322,2014/12/31,0.411439,0.031116
300365,2014/12/31,0.062304,0.518
300295,2014/12/31,0.137607,1.255546
300379,2014/12/31,0.195166,0.413905
300345,2014/12/31,0.228166,0.481797
300221,2014/12/31,0.420989,0.002846
300121,2014/12/31,0.613476,-0.094667
300316,2014/12/31,0.068186,1.070344
300237,2014/12/31,0.575764,0.039224
300199,2014/12/31,0.236422,0.542338
300406,2014/12/31,0.054999,
300165,2014/12/31,0.052473,0.36072
300184,2014/12/31,0.308693,0.157392
300072,2014/12/31,0.603988,0.128729
300305,2014/12/31,0.039823,0.095134
300017,2014/12/31,0.172776,1.754838
300303,2014/12/31,0.265531,0.430383
300111,2014/12/31,0.627001,0.061562
300190,2014/12/31,0.241932,0.118119
300380,2014/12/31,0.133533,0.728298
300067,2014/12/31,0.12798,0.000423
300209,2014/12/31,0.052066,0.026506
300247,2014/12/31,0.153819,0.198643
300216,2014/12/31,0.425894,0.010472
300172,2014/12/31,0.281775,0.209432
300281,2014/12/31,0.303557,0.229193
300244,2014/12/31,0.366972,0.37531
300341,2014/12/31,0.11438,0.577629
300324,2014/12/31,0.245659,0.085469
300395,2014/12/31,0.143417,
300298,2014/12/31,0.082942,1.50726
300343,2014/12/31,0.406253,-0.661047
300074,2014/12/31,0.046125,0.420956
300323,2014/12/31,0.532057,-0.092843
300133,2014/12/31,0.327107,0.211996
300225,2014/12/31,0.217301,0.413216
300398,2014/12/31,0.227459,
300003,2014/12/31,0.1403,0.903361
300195,2014/12/31,0.165809,-0.323343
300046,2014/12/31,0.070824,1.006283
300105,2014/12/31,0.317612,-0.14266
