Stkcd,Reptdt,Asset
300297,2013/12/31,1088703881
300270,2013/12/31,508046125
300344,2013/12/31,972528184.2
300171,2013/12/31,3778529183
300183,2013/12/31,1813429746
300137,2013/12/31,1105295305
300351,2013/12/31,1007899520
300266,2013/12/31,719725844.7
300308,2013/12/31,740001910.6
300187,2013/12/31,1377552377
300161,2013/12/31,1300674283
300057,2013/12/31,3805874501
300175,2013/12/31,1119721551
300020,2013/12/31,2553102454
300028,2013/12/31,1348244046
300276,2013/12/31,751925249.5
300061,2013/12/31,707778990.8
300166,2013/12/31,1135197833
300178,2013/12/31,1397219374
300332,2013/12/31,1657692684
300217,2013/12/31,1576335358
300128,2013/12/31,1922742588
300189,2013/12/31,1683586493
300377,2013/12/31,233261184
300312,2013/12/31,1277918448
300208,2013/12/31,1188898179
300094,2013/12/31,2545242078
300157,2013/12/31,2864845042
300315,2013/12/31,1927407760
300268,2013/12/31,471325496.4
300260,2013/12/31,898630731.3
300122,2013/12/31,2587866699
300279,2013/12/31,572478043.9
300049,2013/12/31,1141774608
300025,2013/12/31,1272611354
300139,2013/12/31,1287435877
300369,2013/12/31,734910172.3
300378,2013/12/31,1005634861
300022,2013/12/31,3853783144
300269,2013/12/31,917695036.2
300132,2013/12/31,1070804867
300155,2013/12/31,1303299125
300194,2013/12/31,1863378419
300046,2013/12/31,907550339.4
300177,2013/12/31,1143566818
300293,2013/12/31,1698525494
300299,2014/12/31,555107559.6
300141,2014/12/31,818949882.1
300365,2014/12/31,559208870.6
300295,2014/12/31,923970201.9
300380,2014/12/31,488894783.4
300067,2014/12/31,1026933540
300231,2014/12/31,524589275.1
300412,2014/12/31,455173670.2
300332,2014/12/31,2369975710
300113,2014/12/31,1327557510
300393,2014/12/31,1055220167
300250,2014/12/31,491535516.5
300360,2014/12/31,1488707243
300420,2014/12/31,329369951
300091,2014/12/31,1875841973
300015,2014/12/31,2550430405
300098,2014/12/31,1668885912
300399,2014/12/31,475901188.9
300314,2014/12/31,718751507.4
300085,2014/12/31,963205269.2
300291,2014/12/31,4049402974
300312,2014/12/31,1514301150
300413,2014/12/31,1472496800
300096,2014/12/31,895487141.6
300333,2014/12/31,854090795.9
300099,2014/12/31,933339328
300183,2014/12/31,2067371654
300270,2014/12/31,665323339.4
300377,2014/12/31,462461375.5
300151,2014/12/31,953088293.8
300401,2015/12/31,787837573.7
