Stkcd,Reptdt,Num_of_meet
300157,2013/12/31,14
300161,2013/12/31,8
300166,2013/12/31,10
300171,2013/12/31,7
300175,2013/12/31,7
300178,2013/12/31,7
300183,2013/12/31,7
300187,2013/12/31,7
300189,2013/12/31,7
300208,2013/12/31,12
300217,2013/12/31,9
300219,2013/12/31,8
300260,2013/12/31,8
300266,2013/12/31,9
300268,2013/12/31,12
300270,2013/12/31,5
300276,2013/12/31,7
300279,2013/12/31,7
300297,2013/12/31,9
300308,2013/12/31,9
300312,2013/12/31,13
300315,2013/12/31,17
300332,2013/12/31,15
300344,2013/12/31,9
300351,2013/12/31,6
300377,2013/12/31,7
300293,2013/12/31,9
300369,2013/12/31,7
300378,2013/12/31,9
300022,2013/12/31,6
300156,2013/12/31,10
300167,2013/12/31,9
300269,2013/12/31,8
300277,2013/12/31,11
300355,2013/12/31,9
300204,2013/12/31,6
300358,2014/12/31,8
300208,2014/12/31,12
300278,2014/12/31,15
300056,2014/12/31,8
300011,2014/12/31,9
300196,2014/12/31,7
300131,2014/12/31,9
300286,2014/12/31,9
300390,2014/12/31,9
300198,2014/12/31,10
300239,2014/12/31,8
300294,2014/12/31,10
300317,2014/12/31,13
300357,2014/12/31,9
300193,2014/12/31,6
300238,2014/12/31,8
300242,2014/12/31,11
300241,2014/12/31,9
300248,2014/12/31,8
300335,2014/12/31,12
300030,2014/12/31,9
300353,2014/12/31,8
300256,2014/12/31,12
300204,2014/12/31,4
300125,2014/12/31,8
300179,2014/12/31,7
300363,2014/12/31,12
300299,2014/12/31,10
300144,2014/12/31,12
300146,2014/12/31,14
300201,2014/12/31,9
300226,2014/12/31,12
300253,2014/12/31,11
300009,2014/12/31,9
300267,2014/12/31,21
300328,2014/12/31,9
300351,2014/12/31,8
300134,2014/12/31,9
300140,2014/12/31,10
300054,2014/12/31,7
300055,2014/12/31,12
300139,2014/12/31,9
300289,2014/12/31,14
300141,2014/12/31,8
300227,2014/12/31,8
300156,2014/12/31,22
300127,2014/12/31,4
300322,2014/12/31,13
300365,2014/12/31,10
300295,2014/12/31,11
300345,2014/12/31,7
300379,2014/12/31,11
300121,2014/12/31,5
300199,2014/12/31,6
300221,2014/12/31,12
300237,2014/12/31,9
300316,2014/12/31,8
300406,2014/12/31,8
300165,2014/12/31,5
300184,2014/12/31,10
300067,2014/12/31,8
300209,2014/12/31,9
300247,2014/12/31,6
300017,2014/12/31,10
300072,2014/12/31,10
300111,2014/12/31,6
300190,2014/12/31,6
300303,2014/12/31,6
300305,2014/12/31,5
300380,2014/12/31,9
300172,2014/12/31,5
300216,2014/12/31,10
300244,2014/12/31,16
300281,2014/12/31,12
300298,2014/12/31,13
300324,2014/12/31,15
300341,2014/12/31,8
300343,2014/12/31,15
300395,2014/12/31,6
300003,2014/12/31,8
300074,2014/12/31,7
300133,2014/12/31,12
300195,2014/12/31,11
300225,2014/12/31,6
300323,2014/12/31,11
300398,2014/12/31,14
300046,2014/12/31,6
300078,2014/12/31,10
300105,2014/12/31,5
300006,2014/12/31,13
300025,2014/12/31,11
300031,2014/12/31,7
300043,2014/12/31,13
300058,2014/12/31,33
300124,2014/12/31,9
300164,2014/12/31,12
300178,2014/12/31,15
300288,2014/12/31,8
300349,2014/12/31,8
300019,2014/12/31,7
300095,2014/12/31,10
300142,2014/12/31,8
300396,2014/12/31,12
300419,2014/12/31,9
300037,2014/12/31,9
300068,2014/12/31,11
300073,2014/12/31,11
300101,2014/12/31,8
300138,2014/12/31,6
300154,2014/12/31,6
300166,2014/12/31,8
300231,2014/12/31,10
300249,2014/12/31,7
300254,2014/12/31,10
300255,2014/12/31,5
300272,2014/12/31,12
300275,2014/12/31,10
300284,2014/12/31,14
300370,2014/12/31,9
300421,2014/12/31,5
300212,2014/12/31,13
300283,2014/12/31,6
300403,2014/12/31,9
300412,2014/12/31,3
300039,2014/12/31,10
300271,2014/12/31,13
300296,2014/12/31,9
300304,2014/12/31,6
300310,2014/12/31,12
300332,2014/12/31,15
300339,2014/12/31,14
300384,2014/12/31,13
300027,2014/12/31,23
300032,2014/12/31,8
300047,2014/12/31,4
300048,2014/12/31,10
300066,2014/12/31,8
300071,2014/12/31,9
300081,2014/12/31,10
300090,2014/12/31,11
300113,2014/12/31,11
300114,2014/12/31,10
300180,2014/12/31,9
300181,2014/12/31,12
300188,2014/12/31,6
300200,2014/12/31,4
300207,2014/12/31,12
300210,2014/12/31,11
300218,2014/12/31,6
