Stkcd,Reptdt,Roa
300179,2014/12/31,0.039601
300363,2014/12/31,0.087462
300299,2014/12/31,0.036845
300144,2014/12/31,0.099949
300201,2014/12/31,0.015661
300146,2014/12/31,0.194936
300253,2014/12/31,0.125187
300226,2014/12/31,0.011094
300267,2014/12/31,0.156732
300009,2014/12/31,0.130626
300351,2014/12/31,0.104736
300328,2014/12/31,0.061456
300134,2014/12/31,0.166093
300140,2014/12/31,0.013714
300054,2014/12/31,0.106941
300139,2014/12/31,0.049337
300055,2014/12/31,0.063428
300141,2014/12/31,0.064417
300227,2014/12/31,0.054535
300156,2014/12/31,0.007986
300289,2014/12/31,0.100498
300127,2014/12/31,0.067084
300322,2014/12/31,0.050059
300365,2014/12/31,0.142596
300295,2014/12/31,0.166978
300379,2014/12/31,0.090171
300345,2014/12/31,0.01417
300221,2014/12/31,0.020512
300121,2014/12/31,0.023569
300316,2014/12/31,0.034654
300237,2014/12/31,0.05196
300199,2014/12/31,0.114905
300406,2014/12/31,0.269129
300165,2014/12/31,0.03115
300184,2014/12/31,0.036439
300072,2014/12/31,0.095632
300305,2014/12/31,0.052255
300017,2014/12/31,0.287147
300303,2014/12/31,0.131253
300111,2014/12/31,0.012308
300190,2014/12/31,0.062656
300380,2014/12/31,0.102823
300067,2014/12/31,0.109578
300209,2014/12/31,0.009513
300247,2014/12/31,0.026772
300216,2014/12/31,0.090774
300172,2014/12/31,0.068302
300281,2014/12/31,0.062679
300244,2014/12/31,0.133166
300341,2014/12/31,0.062832
300324,2014/12/31,0.079579
300395,2014/12/31,0.118068
300298,2014/12/31,0.174598
300343,2014/12/31,0.014593
300074,2014/12/31,0.026971
300323,2014/12/31,0.029117
300133,2014/12/31,0.114064
300225,2014/12/31,0.087609
300398,2014/12/31,0.143901
300003,2014/12/31,0.129987
300195,2014/12/31,0.085168
300046,2014/12/31,0.049136
300105,2014/12/31,0.055548
300078,2014/12/31,0.064598
300164,2014/12/31,0.018356
300025,2014/12/31,0.060786
300006,2014/12/31,0.005088
300124,2014/12/31,0.163008
300288,2014/12/31,0.034043
300058,2014/12/31,0.081172
300031,2014/12/31,0.074106
300178,2014/12/31,0.076016
300043,2014/12/31,0.116092
300095,2014/12/31,0.042315
300019,2014/12/31,0.10685
300419,2014/12/31,0.164258
300142,2014/12/31,0.01598
300396,2014/12/31,0.127275
300349,2014/12/31,0.131414
300037,2014/12/31,0.08785
300073,2014/12/31,-0.025452
300101,2014/12/31,0.061075
300166,2014/12/31,0.091364
300231,2014/12/31,0.11905
300254,2014/12/31,0.049206
300275,2014/12/31,0.035808
300272,2014/12/31,0.095512
300068,2014/12/31,0.022605
300421,2014/12/31,0.089803
300249,2014/12/31,0.02601
300255,2014/12/31,0.072799
300370,2014/12/31,0.076746
300138,2014/12/31,0.013168
300154,2014/12/31,0.064501
300284,2014/12/31,0.072591
300283,2014/12/31,0.029274
300212,2014/12/31,0.057264
300412,2014/12/31,0.123058
300403,2014/12/31,0.146533
300271,2014/12/31,0.097572
300039,2014/12/31,0.179699
300304,2014/12/31,0.069742
300296,2014/12/31,0.102466
300339,2014/12/31,0.068102
300384,2014/12/31,0.107401
300310,2014/12/31,0.052782
300332,2014/12/31,0.068837
300048,2014/12/31,0.025929
300210,2014/12/31,0.082467
300293,2014/12/31,0.038291
300222,2014/12/31,0.064316
300066,2014/12/31,0.108419
300081,2014/12/31,0.008768
300207,2014/12/31,0.045006
300071,2014/12/31,0.051455
300113,2014/12/31,0.123946
300032,2014/12/31,0.03398
300090,2014/12/31,0.044641
300114,2014/12/31,0.065417
300181,2014/12/31,0.100553
300188,2014/12/31,0.104598
300200,2014/12/31,0.058987
300218,2014/12/31,0.035532
300334,2014/12/31,0.074372
300027,2014/12/31,0.121469
300392,2014/12/31,0.121545
300393,2014/12/31,0.151371
300047,2014/12/31,0.039411
300180,2014/12/31,0.071769
300264,2014/12/31,0.025566
300163,2014/12/31,0.037271
300338,2014/12/31,0.055818
300038,2014/12/31,0.035373
300250,2014/12/31,0.078191
300259,2014/12/31,0.118139
300007,2014/12/31,0.042382
300194,2014/12/31,0.024823
300360,2014/12/31,0.182966
300378,2014/12/31,0.050755
300126,2014/12/31,0.052125
300223,2014/12/31,-0.009237
300290,2014/12/31,0.095499
300306,2014/12/31,0.083989
300401,2014/12/31,0.052146
300008,2014/12/31,0.041956
300313,2014/12/31,0.003681
300420,2014/12/31,0.101539
300092,2014/12/31,0.009032
300354,2014/12/31,0.021126
300103,2014/12/31,0.053387
300109,2014/12/31,0.067132
300130,2014/12/31,0.060416
300234,2014/12/31,0.149919
300036,2014/12/31,0.054453
300120,2014/12/31,0.007097
300091,2014/12/31,0.007601
300016,2014/12/31,0.123289
300287,2014/12/31,0.052236
300375,2014/12/31,0.125263
300400,2014/12/31,0.082865
300026,2014/12/31,0.17062
300080,2014/12/31,0.005355
300082,2014/12/31,0.020232
300104,2014/12/31,0.01857
300115,2014/12/31,0.09289
300325,2014/12/31,0.03744
300327,2014/12/31,0.049077
300015,2014/12/31,0.134018
300044,2014/12/31,0.062311
300252,2014/12/31,0.056634
300042,2014/12/31,0.023144
300215,2014/12/31,0.026107
300168,2014/12/31,0.068474
300269,2014/12/31,0.089943
300098,2014/12/31,0.092563
300232,2014/12/31,0.068141
