Stkcd,Reptdt,Dual
300038,2014/12/31,1
300250,2014/12/31,1
300259,2014/12/31,2
300007,2014/12/31,2
300194,2014/12/31,2
300313,2014/12/31,1
300223,2014/12/31,1
300008,2014/12/31,1
300290,2014/12/31,1
300401,2014/12/31,2
300126,2014/12/31,1
300360,2014/12/31,1
300306,2014/12/31,1
300378,2014/12/31,2
300092,2014/12/31,2
300420,2014/12/31,2
300109,2014/12/31,2
300234,2014/12/31,2
300354,2014/12/31,2
300103,2014/12/31,2
300130,2014/12/31,1
300036,2014/12/31,2
300091,2014/12/31,1
300327,2014/12/31,2
300082,2014/12/31,1
300016,2014/12/31,2
300115,2014/12/31,1
300120,2014/12/31,2
300042,2014/12/31,1
300104,2014/12/31,1
300026,2014/12/31,2
300375,2014/12/31,2
300080,2014/12/31,2
300287,2014/12/31,1
300400,2014/12/31,2
300044,2014/12/31,1
300015,2014/12/31,2
300252,2014/12/31,2
300215,2014/12/31,1
300325,2014/12/31,1
300269,2014/12/31,1
300168,2014/12/31,1
300098,2014/12/31,2
300232,2014/12/31,1
300174,2014/12/31,2
300265,2014/12/31,2
300376,2014/12/31,1
300108,2014/12/31,1
300399,2014/12/31,2
300050,2014/12/31,2
300150,2014/12/31,2
300159,2014/12/31,1
300371,2014/12/31,1
300388,2014/12/31,2
300233,2014/12/31,2
300028,2014/12/31,2
300118,2014/12/31,1
300292,2014/12/31,2
300224,2014/12/31,2
300112,2014/12/31,2
300213,2014/12/31,2
300145,2014/12/31,2
300301,2014/12/31,2
300382,2014/12/31,1
300321,2014/12/31,2
300342,2014/12/31,2
300389,2014/12/31,1
300415,2014/12/31,2
300001,2014/12/31,2
300116,2014/12/31,2
300240,2014/12/31,2
300077,2014/12/31,2
300106,2014/12/31,2
300119,2014/12/31,1
300205,2014/12/31,2
300012,2014/12/31,2
300314,2014/12/31,1
300024,2014/12/31,2
300329,2014/12/31,1
300291,2014/12/31,2
300245,2014/12/31,2
300359,2014/12/31,1
300170,2014/12/31,2
300203,2014/12/31,2
300051,2014/12/31,1
300085,2014/12/31,2
300211,2014/12/31,1
300246,2014/12/31,1
300148,2014/12/31,2
300087,2014/12/31,2
300010,2014/12/31,1
300416,2014/12/31,1
300279,2014/12/31,2
300034,2014/12/31,2
300312,2014/12/31,1
300261,2014/12/31,1
300347,2014/12/31,1
300425,2014/12/31,2
300107,2014/12/31,2
300089,2014/12/31,1
300407,2014/12/31,2
300057,2014/12/31,1
300214,2014/12/31,2
300319,2014/12/31,2
300405,2014/12/31,1
300185,2014/12/31,2
300153,2014/12/31,2
300274,2014/12/31,1
