Stkcd,Reptdt,num_of_dir
300212,2014/12/31,9
300412,2014/12/31,9
300039,2014/12/31,9
300304,2014/12/31,9
300271,2014/12/31,7
300384,2014/12/31,7
300339,2014/12/31,9
300296,2014/12/31,8
300332,2014/12/31,7
300310,2014/12/31,9
300048,2014/12/31,9
300293,2014/12/31,7
300210,2014/12/31,7
300222,2014/12/31,9
300066,2014/12/31,9
300113,2014/12/31,9
300207,2014/12/31,5
300081,2014/12/31,9
300032,2014/12/31,9
300071,2014/12/31,8
300180,2014/12/31,7
300218,2014/12/31,12
300264,2014/12/31,9
300090,2014/12/31,11
300027,2014/12/31,9
300181,2014/12/31,9
300334,2014/12/31,7
300047,2014/12/31,11
300200,2014/12/31,7
300188,2014/12/31,7
300393,2014/12/31,7
300392,2014/12/31,9
300114,2014/12/31,9
300163,2014/12/31,5
300338,2014/12/31,5
300038,2014/12/31,12
300250,2014/12/31,7
300259,2014/12/31,9
300007,2014/12/31,9
300194,2014/12/31,9
300313,2014/12/31,9
300223,2014/12/31,6
300008,2014/12/31,9
300290,2014/12/31,9
300401,2014/12/31,9
300126,2014/12/31,9
300360,2014/12/31,9
300306,2014/12/31,7
300378,2014/12/31,11
300092,2014/12/31,9
300420,2014/12/31,9
300109,2014/12/31,6
300234,2014/12/31,7
300354,2014/12/31,7
300103,2014/12/31,9
300130,2014/12/31,8
300036,2014/12/31,9
300091,2014/12/31,9
300327,2014/12/31,7
300082,2014/12/31,9
300016,2014/12/31,9
300115,2014/12/31,7
300120,2014/12/31,7
300042,2014/12/31,9
300104,2014/12/31,5
300026,2014/12/31,9
300375,2014/12/31,7
300080,2014/12/31,9
300287,2014/12/31,8
300400,2014/12/31,5
300044,2014/12/31,9
300015,2014/12/31,7
300252,2014/12/31,7
300215,2014/12/31,9
300325,2014/12/31,9
300269,2014/12/31,9
300168,2014/12/31,7
300098,2014/12/31,7
300232,2014/12/31,7
300174,2014/12/31,5
300265,2014/12/31,7
300376,2014/12/31,7
300108,2014/12/31,7
300399,2014/12/31,7
300050,2014/12/31,7
300150,2014/12/31,9
300159,2014/12/31,6
300371,2014/12/31,8
300388,2014/12/31,11
300233,2014/12/31,9
300028,2014/12/31,7
300118,2014/12/31,9
300292,2014/12/31,7
300224,2014/12/31,9
300112,2014/12/31,7
300213,2014/12/31,11
300145,2014/12/31,7
300301,2014/12/31,9
300382,2014/12/31,7
300321,2014/12/31,9
300342,2014/12/31,8
300389,2014/12/31,9
300415,2014/12/31,9
300001,2014/12/31,9
300116,2014/12/31,5
300240,2014/12/31,9
300077,2014/12/31,9
300106,2014/12/31,9
300119,2014/12/31,9
300205,2014/12/31,9
300012,2014/12/31,9
300314,2014/12/31,9
300024,2014/12/31,9
300329,2014/12/31,8
300291,2014/12/31,9
300245,2014/12/31,9
300359,2014/12/31,9
300170,2014/12/31,5
300203,2014/12/31,6
300051,2014/12/31,7
300085,2014/12/31,7
300211,2014/12/31,7
300246,2014/12/31,9
300148,2014/12/31,4
300087,2014/12/31,8
300010,2014/12/31,11
300416,2014/12/31,9
300279,2014/12/31,7
300034,2014/12/31,9
300312,2014/12/31,7
300261,2014/12/31,9
300347,2014/12/31,8
300425,2014/12/31,7
300107,2014/12/31,9
300089,2014/12/31,7
300407,2014/12/31,9
300057,2014/12/31,9
300214,2014/12/31,9
300319,2014/12/31,9
300405,2014/12/31,9
300185,2014/12/31,9
300153,2014/12/31,9
300274,2014/12/31,8
300331,2014/12/31,7
300005,2014/12/31,8
300132,2014/12/31,5
300136,2014/12/31,9
300243,2014/12/31,9
300065,2014/12/31,5
300251,2014/12/31,7
300189,2014/12/31,9
300262,2014/12/31,7
300158,2014/12/31,9
300160,2014/12/31,9
300040,2014/12/31,9
300149,2014/12/31,7
300391,2014/12/31,9
300206,2014/12/31,7
300340,2014/12/31,9
300413,2014/12/31,9
300062,2014/12/31,7
300300,2014/12/31,9
300021,2014/12/31,9
300350,2014/12/31,8
300110,2014/12/31,9
300173,2014/12/31,9
300258,2014/12/31,8
300129,2014/12/31,11
300084,2014/12/31,7
300368,2014/12/31,9
300177,2014/12/31,7
300315,2014/12/31,9
300135,2014/12/31,9
300088,2014/12/31,11
300235,2014/12/31,7
300408,2014/12/31,7
300202,2014/12/31,9
300285,2014/12/31,9
300336,2014/12/31,5
300197,2014/12/31,7
300302,2014/12/31,7
300122,2014/12/31,9
300260,2014/12/31,7
300435,2014/12/31,9
300409,2014/12/31,7
300022,2014/12/31,5
300069,2014/12/31,5
300417,2014/12/31,5
300100,2014/12/31,9
300383,2014/12/31,7
300318,2014/12/31,9
300083,2014/12/31,7
300045,2014/12/31,9
300280,2014/12/31,9
300161,2014/12/31,8
300096,2014/12/31,7
300093,2014/12/31,8
300086,2014/12/31,7
300276,2014/12/31,9
300097,2014/12/31,7
300257,2014/12/31,7
300075,2014/12/31,9
300079,2014/12/31,7
300333,2014/12/31,7
300346,2014/12/31,9
300311,2014/12/31,6
300356,2014/12/31,9
300167,2014/12/31,7
300175,2014/12/31,7
300147,2014/12/31,9
300052,2014/12/31,7
300330,2014/12/31,8
300018,2014/12/31,5
300410,2014/12/31,9
300373,2014/12/31,7
300014,2014/12/31,7
300169,2014/12/31,7
300128,2014/12/31,9
300381,2014/12/31,7
300364,2014/12/31,7
300348,2014/12/31,9
300418,2014/12/31,7
300297,2014/12/31,9
300041,2014/12/31,9
300099,2014/12/31,8
300061,2014/12/31,9
300229,2014/12/31,7
300152,2014/12/31,7
300076,2014/12/31,9
300176,2014/12/31,9
300236,2014/12/31,9
300411,2014/12/31,7
300162,2014/12/31,6
300143,2014/12/31,5
300013,2014/12/31,7
300220,2014/12/31,5
300192,2014/12/31,6
300402,2014/12/31,9
300387,2014/12/31,9
300004,2014/12/31,8
300355,2014/12/31,9
300385,2014/12/31,9
300053,2014/12/31,9
300352,2014/12/31,9
300183,2014/12/31,8
300191,2014/12/31,7
300268,2014/12/31,5
300277,2014/12/31,5
300117,2014/12/31,7
300020,2014/12/31,9
300326,2014/12/31,7
300263,2014/12/31,9
300230,2014/12/31,7
300217,2014/12/31,7
300337,2014/12/31,7
300070,2014/12/31,9
300344,2014/12/31,9
300219,2014/12/31,9
300035,2014/12/31,9
300137,2014/12/31,9
300063,2014/12/31,9
300308,2014/12/31,6
300266,2014/12/31,9
300369,2014/12/31,7
300372,2014/12/31,7
300171,2014/12/31,9
300377,2014/12/31,9
300374,2014/12/31,7
300366,2014/12/31,9
300002,2014/12/31,12
300307,2014/12/31,8
300155,2014/12/31,6
300157,2014/12/31,9
300228,2014/12/31,8
300182,2014/12/31,9
300187,2014/12/31,9
300320,2014/12/31,9
300386,2014/12/31,7
300049,2014/12/31,11
300362,2014/12/31,8
300273,2014/12/31,9
300151,2014/12/31,6
300270,2014/12/31,7
300123,2014/12/31,8
300397,2014/12/31,7
300429,2014/12/31,6
300282,2014/12/31,7
300102,2014/12/31,7
300186,2014/12/31,11
300094,2014/12/31,9
300401,2015/12/31,9
300301,2015/12/31,7
300351,2015/12/31,7
300298,2015/12/31,7
300125,2015/12/31,6
300131,2015/12/31,7
300227,2015/12/31,7
300450,2015/12/31,7
300376,2015/12/31,7
300437,2015/12/31,9
300349,2015/12/31,9
300324,2015/12/31,7
300161,2015/12/31,7
300118,2015/12/31,9
300271,2015/12/31,7
300054,2015/12/31,9
300363,2015/12/31,9
300443,2015/12/31,9
300132,2015/12/31,5
300140,2015/12/31,8
300278,2015/12/31,7
300453,2015/12/31,7
300121,2015/12/31,6
300175,2015/12/31,7
300233,2015/12/31,9
300095,2015/12/31,9
300336,2015/12/31,6
300243,2015/12/31,9
300162,2015/12/31,7
300193,2015/12/31,7
300228,2015/12/31,8
300259,2015/12/31,8
300331,2015/12/31,7
300191,2015/12/31,7
300014,2015/12/31,6
300144,2015/12/31,9
300146,2015/12/31,7
300122,2015/12/31,7
300204,2015/12/31,9
300203,2015/12/31,7
300077,2015/12/31,7
300432,2015/12/31,9
300009,2015/12/31,12
300485,2015/12/31,8
300441,2015/12/31,7
300283,2015/12/31,8
300163,2015/12/31,5
300148,2015/12/31,5
300335,2015/12/31,9
300414,2015/12/31,8
300314,2015/12/31,9
300105,2015/12/31,12
300238,2015/12/31,7
300024,2015/12/31,9
300316,2015/12/31,8
300430,2015/12/31,9
300111,2015/12/31,7
300245,2015/12/31,9
300457,2015/12/31,9
300116,2015/12/31,4
300360,2015/12/31,9
300322,2015/12/31,9
300408,2015/12/31,6
300421,2015/12/31,9
300073,2015/12/31,9
300244,2015/12/31,9
300383,2015/12/31,6
300068,2015/12/31,9
300087,2015/12/31,9
300375,2015/12/31,7
300172,2015/12/31,8
300072,2015/12/31,11
300403,2015/12/31,9
300216,2015/12/31,9
300176,2015/12/31,9
300080,2015/12/31,8
300428,2015/12/31,9
300143,2015/12/31,5
300458,2015/12/31,7
300025,2015/12/31,7
300422,2015/12/31,9
300225,2015/12/31,9
300393,2015/12/31,6
300149,2015/12/31,7
300398,2015/12/31,9
300365,2015/12/31,7
