Stkcd,Reptdt,Salary
300007,2014/12/31,1010300
300194,2014/12/31,1275700
300313,2014/12/31,792300
300223,2014/12/31,828000
300008,2014/12/31,880000
300290,2014/12/31,1870000
300401,2014/12/31,800600
300126,2014/12/31,859200
300360,2014/12/31,2041400
300306,2014/12/31,1363800
300378,2014/12/31,2930000
300092,2014/12/31,610000
300420,2014/12/31,470200
300109,2014/12/31,348900
300234,2014/12/31,890000
300354,2014/12/31,723600
300103,2014/12/31,718000
300130,2014/12/31,1267000
300036,2014/12/31,1620346
300091,2014/12/31,460500
300327,2014/12/31,1410000
300082,2014/12/31,1957900
300016,2014/12/31,2740000
300115,2014/12/31,1293600
300120,2014/12/31,594100
300042,2014/12/31,1799800
300104,2014/12/31,1770000
300026,2014/12/31,8865500
300375,2014/12/31,2988000
300080,2014/12/31,1545900
300287,2014/12/31,802000
300400,2014/12/31,408600
300044,2014/12/31,1007200
300015,2014/12/31,1200000
300252,2014/12/31,1382400
300215,2014/12/31,2204500
300325,2014/12/31,570000
300269,2014/12/31,2457400
300168,2014/12/31,3500000
300098,2014/12/31,998700
300232,2014/12/31,1173000
300174,2014/12/31,310000
300265,2014/12/31,690880
300376,2014/12/31,1448700
300108,2014/12/31,516000
300399,2014/12/31,1288100
300050,2014/12/31,957500
300150,2014/12/31,1370000
300159,2014/12/31,1157100
300371,2014/12/31,1271900
300388,2014/12/31,820000
300233,2014/12/31,2423900
300028,2014/12/31,900000
300118,2014/12/31,1633300
300292,2014/12/31,1280400
300224,2014/12/31,1147500
300112,2014/12/31,1353900
300213,2014/12/31,1708500
300145,2014/12/31,1336300
300301,2014/12/31,950000
300382,2014/12/31,1394900
300321,2014/12/31,1288400
300342,2014/12/31,1002000
300389,2014/12/31,2195700
300415,2014/12/31,4045800
300001,2014/12/31,1680600
300116,2014/12/31,1141100
300240,2014/12/31,2507500
300077,2014/12/31,2626000
300106,2014/12/31,520900
300119,2014/12/31,1380000
300205,2014/12/31,3922700
300012,2014/12/31,4312800
300314,2014/12/31,1029200
300024,2014/12/31,1200000
300329,2014/12/31,973500
300291,2014/12/31,759100
300245,2014/12/31,2676000
300359,2014/12/31,1361700
300170,2014/12/31,1344000
300203,2014/12/31,363000
300051,2014/12/31,1483200
300085,2014/12/31,360000
300211,2014/12/31,1054900
300246,2014/12/31,1422800
300148,2014/12/31,490000
300087,2014/12/31,379600
300010,2014/12/31,1373000
300416,2014/12/31,1045500
300279,2014/12/31,1072200
300034,2014/12/31,1252200
300312,2014/12/31,1015200
300261,2014/12/31,1196200
300347,2014/12/31,1842200
300425,2014/12/31,1678700
300107,2014/12/31,512400
300089,2014/12/31,810000
300407,2014/12/31,978300
300057,2014/12/31,1623000
300214,2014/12/31,1306700
300319,2014/12/31,1033700
300405,2014/12/31,481600
300185,2014/12/31,2035000
300153,2014/12/31,1483900
300274,2014/12/31,2180000
300331,2014/12/31,600000
300005,2014/12/31,12970700
300132,2014/12/31,755000
300136,2014/12/31,1821000
300243,2014/12/31,1036000
300065,2014/12/31,852400
300251,2014/12/31,2018200
300189,2014/12/31,1183000
300262,2014/12/31,485500
300158,2014/12/31,1887900
300160,2014/12/31,1559100
300040,2014/12/31,480000
300149,2014/12/31,394500
300391,2014/12/31,890600
300206,2014/12/31,3264700
300340,2014/12/31,826100
300413,2014/12/31,3094600
300062,2014/12/31,1343800
300300,2014/12/31,707200
300021,2014/12/31,1224000
300350,2014/12/31,828000
300110,2014/12/31,1119400
300173,2014/12/31,2038500
300258,2014/12/31,1121800
300129,2014/12/31,1587000
300084,2014/12/31,2565100
300368,2014/12/31,1261200
300177,2014/12/31,1463700
300315,2014/12/31,1977900
300135,2014/12/31,652500
300088,2014/12/31,2726600
300235,2014/12/31,878300
300408,2014/12/31,3544400
300202,2014/12/31,966000
300285,2014/12/31,778100
300336,2014/12/31,840000
300197,2014/12/31,1900000
300302,2014/12/31,582000
300122,2014/12/31,1650000
300260,2014/12/31,771700
300435,2014/12/31,1290000
300409,2014/12/31,1420100
300022,2014/12/31,1101800
300069,2014/12/31,460000
300417,2014/12/31,1090600
300100,2014/12/31,674000
300383,2014/12/31,1263100
300318,2014/12/31,891600
300083,2014/12/31,2241100
300045,2014/12/31,1357300
300280,2014/12/31,1409200
300161,2014/12/31,2307900
300096,2014/12/31,1222800
300093,2014/12/31,1181900
300086,2014/12/31,1242500
300276,2014/12/31,750000
300097,2014/12/31,642000
300257,2014/12/31,2280000
300075,2014/12/31,1420000
300079,2014/12/31,2307200
300333,2014/12/31,2532400
300346,2014/12/31,1213700
300311,2014/12/31,758200
300356,2014/12/31,1230200
300167,2014/12/31,971200
300175,2014/12/31,361200
300147,2014/12/31,1000000
300052,2014/12/31,1072600
300330,2014/12/31,470000
300018,2014/12/31,1609000
300410,2014/12/31,1548900
300373,2014/12/31,976000
300014,2014/12/31,1772500
300169,2014/12/31,1170000
300128,2014/12/31,1483200
300381,2014/12/31,1547600
300364,2014/12/31,723600
300348,2014/12/31,1871000
300418,2014/12/31,762200
300297,2014/12/31,964000
300041,2014/12/31,1105000
300099,2014/12/31,910800
300061,2014/12/31,943100
300229,2014/12/31,1111900
300152,2014/12/31,1565400
300076,2014/12/31,2232800
300176,2014/12/31,1101900
300236,2014/12/31,1275400
300411,2014/12/31,583000
300162,2014/12/31,714900
300143,2014/12/31,581200
300013,2014/12/31,1546700
300220,2014/12/31,330500
300192,2014/12/31,2130000
300402,2014/12/31,447500
300387,2014/12/31,5160100
300004,2014/12/31,1103300
300355,2014/12/31,2056700
300385,2014/12/31,704000
300053,2014/12/31,807500
300352,2014/12/31,811800
300183,2014/12/31,1894000
300191,2014/12/31,1804000
300268,2014/12/31,160100
300277,2014/12/31,886500
300117,2014/12/31,703200
300020,2014/12/31,1732200
300326,2014/12/31,4763300
300263,2014/12/31,968000
300230,2014/12/31,955800
300217,2014/12/31,1401000
300337,2014/12/31,970000
300070,2014/12/31,1080000
300344,2014/12/31,1086000
300219,2014/12/31,2646600
300035,2014/12/31,510300
300137,2014/12/31,933600
300063,2014/12/31,930000
300308,2014/12/31,561100
300266,2014/12/31,877800
300369,2014/12/31,864000
300372,2014/12/31,426200
300171,2014/12/31,1184900
300377,2014/12/31,1156900
300374,2014/12/31,328700
300366,2014/12/31,839000
300002,2014/12/31,1514300
300307,2014/12/31,1121000
300155,2014/12/31,1500400
300157,2014/12/31,2781200
300228,2014/12/31,3615300
300182,2014/12/31,1072200
300187,2014/12/31,1160100
300320,2014/12/31,972000
300386,2014/12/31,1244000
300049,2014/12/31,1591100
300362,2014/12/31,658000
300273,2014/12/31,1940000
300151,2014/12/31,1882700
300270,2014/12/31,1272000
300123,2014/12/31,1250500
300397,2014/12/31,1121800
300429,2014/12/31,1944200
300282,2014/12/31,1261700
300102,2014/12/31,2619000
300186,2014/12/31,548200
300094,2014/12/31,1946600
300401,2015/12/31,828600
300301,2015/12/31,995000
300351,2015/12/31,1140000
300298,2015/12/31,1030000
300125,2015/12/31,1668100
300131,2015/12/31,1209000
300227,2015/12/31,1805800
300450,2015/12/31,1960400
300376,2015/12/31,1468600
300437,2015/12/31,440000
300349,2015/12/31,978000
300324,2015/12/31,808200
300161,2015/12/31,1566000
300118,2015/12/31,2242600
300271,2015/12/31,943200
300054,2015/12/31,580000
300363,2015/12/31,5296300
300443,2015/12/31,1402000
300132,2015/12/31,770100
300140,2015/12/31,530400
300278,2015/12/31,771200
300453,2015/12/31,636400
300121,2015/12/31,931700
300175,2015/12/31,407400
300233,2015/12/31,2002000
300095,2015/12/31,678600
300336,2015/12/31,2597600
300243,2015/12/31,1300000
300162,2015/12/31,1149700
300193,2015/12/31,2204000
300228,2015/12/31,2898100
300259,2015/12/31,847500
300331,2015/12/31,647000
300191,2015/12/31,1285800
300014,2015/12/31,1057200
300144,2015/12/31,1308000
300146,2015/12/31,1950000
300122,2015/12/31,1560000
300204,2015/12/31,2000086
300203,2015/12/31,738800
300077,2015/12/31,2940000
300432,2015/12/31,2851600
300009,2015/12/31,1134000
300485,2015/12/31,1979000
300441,2015/12/31,432000
300283,2015/12/31,1101400
300163,2015/12/31,626900
300148,2015/12/31,860000
300335,2015/12/31,1469200
300414,2015/12/31,1408000
300314,2015/12/31,841400
300105,2015/12/31,1186600
300238,2015/12/31,1983900
300024,2015/12/31,1380000
300316,2015/12/31,3435200
300430,2015/12/31,588600
300111,2015/12/31,1945000
300245,2015/12/31,2961520.75
300457,2015/12/31,1400000
300116,2015/12/31,955000
300360,2015/12/31,2153500
300322,2015/12/31,825000
300408,2015/12/31,3989400
300421,2015/12/31,555000
300073,2015/12/31,674400
300244,2015/12/31,2040000
300383,2015/12/31,1327800
300068,2015/12/31,680000
300087,2015/12/31,762300
300375,2015/12/31,2896700
