Stkcd,Reptdt,Shrcr
300032,2014/12/31,0.4498
300034,2013/12/31,0.4802
300034,2014/12/31,0.4783
300035,2013/12/31,0.1724
300035,2014/12/31,0.1724
300115,2013/12/31,0.5161
300115,2014/12/31,0.5161
300106,2013/12/31,0.4432
300106,2014/12/31,0.4432
300107,2013/12/31,0.4036
300107,2014/12/31,0.4036
300108,2013/12/31,0.3679
300108,2014/12/31,0.2486
300109,2013/12/31,0.1996
300109,2014/12/31,0.1996
300040,2013/12/31,0.216
300040,2014/12/31,0.216
300110,2013/12/31,0.5053
300110,2014/12/31,0.49
300036,2013/12/31,0.1496
300036,2014/12/31,0.1494
300037,2013/12/31,0.1665
300037,2014/12/31,0.1665
300038,2013/12/31,0.3064
300038,2014/12/31,0.3066
300039,2013/12/31,0.3011
300039,2014/12/31,0.2968
300111,2013/12/31,0.2472
300111,2014/12/31,0.2472
300112,2013/12/31,0.2289
300112,2014/12/31,0.2229
300113,2013/12/31,0.452
300113,2014/12/31,0.4434
300114,2013/12/31,0.6148
300114,2014/12/31,0.5177
300041,2014/12/31,0.1904
300043,2013/12/31,0.3833
300043,2014/12/31,0.3277
300401,2014/12/31,0.3791
300401,2015/12/31,0.3841
300375,2013/12/31,0.5001
300375,2014/12/31,0.3583
300366,2013/12/31,0.6341
300366,2014/12/31,0.4704
300372,2013/12/31,0.3258
300372,2014/12/31,0.2659
300402,2014/12/31,0.5728
300381,2013/12/31,0.65
300381,2014/12/31,0.4746
300182,2013/12/31,0.5464
300182,2014/12/31,0.539
300183,2013/12/31,0.235
300183,2014/12/31,0.2347
300184,2013/12/31,0.3175
300184,2014/12/31,0.2519
300185,2013/12/31,0.1665
300185,2014/12/31,0.1665
300249,2013/12/31,0.2523
300249,2014/12/31,0.2248
300253,2013/12/31,0.1641
300253,2014/12/31,0.1621
300266,2013/12/31,0.4499
300266,2014/12/31,0.3749
300267,2013/12/31,0.4924
300267,2014/12/31,0.4924
300268,2013/12/31,0.2999
300268,2014/12/31,0.2618
300152,2013/12/31,0.3664
300152,2014/12/31,0.3241
300153,2013/12/31,0.5258
300153,2014/12/31,0.4945
300154,2013/12/31,0.3952
300154,2014/12/31,0.3952
300155,2013/12/31,0.384
300155,2014/12/31,0.3841
300169,2013/12/31,0.1423
300169,2014/12/31,0.1116
300170,2013/12/31,0.342
300170,2014/12/31,0.1266
300187,2013/12/31,0.5994
300187,2014/12/31,0.6084
300188,2013/12/31,0.2813
300188,2014/12/31,0.2742
300189,2013/12/31,0.2241
300189,2014/12/31,0.1773
300254,2013/12/31,0.1151
300254,2014/12/31,0.1151
300203,2013/12/31,0.2551
300203,2014/12/31,0.2462
300204,2013/12/31,0.3765
300204,2014/12/31,0.3765
300205,2013/12/31,0.2705
300205,2014/12/31,0.2589
300221,2013/12/31,0.2625
300221,2014/12/31,0.2604
300222,2013/12/31,0.285
300222,2014/12/31,0.4033
300223,2013/12/31,0.2262
300223,2014/12/31,0.2117
300224,2013/12/31,0.6887
300224,2014/12/31,0.5887
300171,2013/12/31,0.6413
300171,2014/12/31,0.6251
300172,2013/12/31,0.3075
300172,2014/12/31,0.2898
300173,2013/12/31,0.1716
300173,2014/12/31,0.2115
300237,2013/12/31,0.4099
300237,2014/12/31,0.3227
300255,2013/12/31,0.3183
300255,2014/12/31,0.3194
300256,2013/12/31,0.1827
300256,2014/12/31,0.1733
300206,2013/12/31,0.2086
300206,2014/12/31,0.2086
300270,2013/12/31,0.5917
300270,2014/12/31,0.5744
300271,2013/12/31,0.2449
300271,2014/12/31,0.2429
300238,2013/12/31,0.3811
300238,2014/12/31,0.3314
300239,2013/12/31,0.3775
300239,2014/12/31,0.3775
300240,2013/12/31,0.1701
300240,2014/12/31,0.16
300231,2013/12/31,0.2796
300231,2014/12/31,0.2703
300232,2013/12/31,0.4565
