Stkcd,Reptdt,Indcd,Code,Date
300036,2013/12/31,I65,300036,2013/12/31
300048,2013/12/31,C38,300048,2013/12/31
300203,2013/12/31,C40,300203,2013/12/31
300373,2013/12/31,C38,300373,2013/12/31
300230,2013/12/31,C29,300230,2013/12/31
300244,2013/12/31,Q83,300244,2013/12/31
300257,2013/12/31,C34,300257,2013/12/31
300282,2013/12/31,C39,300282,2013/12/31
300186,2013/12/31,C27,300186,2013/12/31
300381,2013/12/31,C14,300381,2013/12/31
300090,2013/12/31,C34,300090,2013/12/31
300370,2013/12/31,C40,300370,2013/12/31
300356,2013/12/31,C38,300356,2013/12/31
300314,2013/12/31,C35,300314,2013/12/31
300026,2013/12/31,C27,300026,2013/12/31
300012,2013/12/31,M74,300012,2013/12/31
300340,2013/12/31,C39,300340,2013/12/31
300129,2013/12/31,C38,300129,2013/12/31
300359,2013/12/31,I65,300359,2013/12/31
300024,2013/12/31,C34,300024,2013/12/31
300132,2013/12/31,C26,300132,2013/12/31
300150,2013/12/31,I65,300150,2013/12/31
300246,2013/12/31,C35,300246,2013/12/31
300245,2013/12/31,I65,300245,2013/12/31
300176,2013/12/31,C36,300176,2013/12/31
300211,2013/12/31,C39,300211,2013/12/31
300058,2013/12/31,L72,300058,2013/12/31
300206,2013/12/31,C35,300206,2013/12/31
300076,2013/12/31,C39,300076,2013/12/31
300325,2013/12/31,C29,300325,2013/12/31
300214,2013/12/31,C26,300214,2013/12/31
300151,2013/12/31,C35,300151,2013/12/31
300136,2013/12/31,C39,300136,2013/12/31
300313,2013/12/31,A03,300313,2013/12/31
300345,2013/12/31,C33,300345,2013/12/31
300086,2013/12/31,C27,300086,2013/12/31
300352,2013/12/31,I65,300352,2013/12/31
300073,2013/12/31,C30,300073,2013/12/31
300285,2013/12/31,C26,300285,2013/12/31
300083,2013/12/31,C39,300083,2013/12/31
300195,2013/12/31,C35,300195,2013/12/31
300135,2013/12/31,C26,300135,2013/12/31
300031,2013/12/31,C29,300031,2013/12/31
300130,2013/12/31,C35,300130,2013/12/31
300235,2013/12/31,I65,300235,2013/12/31
300335,2013/12/31,D44,300335,2013/12/31
300197,2013/12/31,E48,300197,2013/12/31
300372,2013/12/31,C38,300372,2013/12/31
300005,2013/12/31,C18,300005,2013/12/31
300265,2013/12/31,C38,300265,2013/12/31
300311,2013/12/31,I65,300311,2013/12/31
300207,2013/12/31,C38,300207,2013/12/31
300290,2013/12/31,I65,300290,2013/12/31
300280,2013/12/31,C34,300280,2013/12/31
300240,2013/12/31,G59,300240,2013/12/31
300160,2013/12/31,C30,300160,2013/12/31
300242,2013/12/31,C38,300242,2013/12/31
300164,2013/12/31,B07,300164,2013/12/31
300205,2013/12/31,C39,300205,2013/12/31
300262,2013/12/31,E48,300262,2013/12/31
300142,2013/12/31,C27,300142,2013/12/31
300149,2013/12/31,C14,300149,2013/12/31
300271,2013/12/31,I65,300271,2013/12/31
300191,2013/12/31,B11,300191,2013/12/31
300353,2013/12/31,C39,300353,2013/12/31
300045,2013/12/31,C35,300045,2013/12/31
300004,2013/12/31,C34,300004,2013/12/31
300077,2013/12/31,C39,300077,2013/12/31
300182,2013/12/31,I65,300182,2013/12/31
300123,2013/12/31,C37,300123,2013/12/31
300288,2013/12/31,I63,300288,2013/12/31
300333,2013/12/31,I65,300333,2013/12/31
300081,2013/12/31,F52,300081,2013/12/31
300365,2013/12/31,I65,300365,2013/12/31
300226,2013/12/31,I64,300226,2013/12/31
300357,2013/12/31,C27,300357,2013/12/31
300093,2013/12/31,C30,300093,2013/12/31
300239,2013/12/31,C27,300239,2013/12/31
300053,2013/12/31,C39,300053,2013/12/31
300323,2013/12/31,C39,300323,2013/12/31
300079,2013/12/31,C39,300079,2013/12/31
300131,2013/12/31,C39,300131,2013/12/31
300065,2013/12/31,C39,300065,2013/12/31
300168,2013/12/31,I65,300168,2013/12/31
300040,2013/12/31,C38,300040,2013/12/31
300350,2013/12/31,G59,300350,2013/12/31
300096,2013/12/31,I65,300096,2013/12/31
300300,2013/12/31,I65,300300,2013/12/31
300337,2013/12/31,C32,300337,2013/12/31
300380,2013/12/31,I65,300380,2013/12/31
300069,2013/12/31,C38,300069,2013/12/31
300201,2013/12/31,C35,300201,2013/12/31
300075,2013/12/31,I65,300075,2013/12/31
300305,2013/12/31,C29,300305,2013/12/31
300307,2013/12/31,C35,300307,2013/12/31
300317,2013/12/31,C38,300317,2013/12/31
300100,2013/12/31,C36,300100,2013/12/31
300382,2013/12/31,C35,300382,2013/12/31
300102,2013/12/31,C39,300102,2013/12/31
300082,2013/12/31,C26,300082,2013/12/31
300173,2013/12/31,C35,300173,2013/12/31
300366,2013/12/31,I65,300366,2013/12/31
300098,2013/12/31,C39,300098,2013/12/31
300376,2013/12/31,C38,300376,2013/12/31
300318,2013/12/31,C35,300318,2013/12/31
300198,2013/12/31,C29,300198,2013/12/31
300232,2013/12/31,C39,300232,2013/12/31
300236,2013/12/31,C26,300236,2013/12/31
300133,2013/12/31,R86,300133,2013/12/31
300316,2013/12/31,C35,300316,2013/12/31
300180,2013/12/31,C29,300180,2013/12/31
300106,2013/12/31,A03,300106,2013/12/31
300330,2013/12/31,I65,300330,2013/12/31
300328,2013/12/31,C33,300328,2013/12/31
300273,2013/12/31,C35,300273,2013/12/31
300302,2013/12/31,I65,300302,2013/12/31
300080,2013/12/31,C30,300080,2013/12/31
300258,2013/12/31,C36,300258,2013/12/31
300185,2013/12/31,C34,300185,2013/12/31
300283,2013/12/31,C38,300283,2013/12/31
300063,2013/12/31,C26,300063,2013/12/31
300362,2013/12/31,C34,300362,2013/12/31
300155,2013/12/31,C39,300155,2013/12/31
300252,2013/12/31,C38,300252,2013/12/31
300346,2013/12/31,C39,300346,2013/12/31
300326,2013/12/31,C35,300326,2013/12/31
300220,2013/12/31,C39,300220,2013/12/31
300243,2013/12/31,C26,300243,2013/12/31
300170,2013/12/31,I65,300170,2013/12/31
300013,2013/12/31,G59,300013,2013/12/31
300055,2013/12/31,E48,300055,2013/12/31
300299,2013/12/31,I65,300299,2013/12/31
300287,2013/12/31,I65,300287,2013/12/31
300038,2013/12/31,C39,300038,2013/12/31
300089,2013/12/31,C30,300089,2013/12/31
300192,2013/12/31,C26,300192,2013/12/31
300109,2013/12/31,C26,300109,2013/12/31
300111,2013/12/31,C39,300111,2013/12/31
300297,2013/12/31,I65,300297,2013/12/31
300219,2013/12/31,C39,300219,2013/12/31
300344,2013/12/31,C30,300344,2013/12/31
300270,2013/12/31,C39,300270,2013/12/31
